id_str,user_id_str,in_reply_to_status_id_str,in_reply_to_user_id_str,created_at,in_reply_to_screen_name,source,user_name,user_screen_name,user_created_at,user_statuses_count,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_url,text,entities_hashtags,entities_urls,entities_user_mentions,retweeted_status_id
997091904306274310,74832813,,,2018-05-17 12:30:09,,Hootsuite,WomensEnvironNetwork,WEN_UK,Wed Sep 16 20:44:39 +0000 2009,4390,"The only UK charity focusing on issues that link women, health & environment. Women taking action for a healthier 🌍 #WomenandEnvironment #WENForum Join us!🌿",London,False,3580,1164,https://t.co/S002ghNnno,Another good reason to support Environmenstrual #PeriodsWithoutPlastic Campaign. Visit our #crowdfunding page… https://t.co/oW7kaSdo4Z,"[{'text': 'PeriodsWithoutPlastic', 'indices': [48, 70]}, {'text': 'crowdfunding', 'indices': [91, 104]}]","[{'url': 'https://t.co/oW7kaSdo4Z', 'expanded_url': 'https://twitter.com/i/web/status/997091904306274310', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [111, 134]}]",[],
997091722181169152,489605884,,,2018-05-17 12:29:26,,Twitter for iPhone,angela,LA08LMU,Sat Feb 11 18:05:22 +0000 2012,2716,,,False,52,223,,RT @friends_earth: 🐝 The #GreatBritishBeeCount is go! Download the app for #Android or #iPhone – search for ‘Great British Bee Count’ or ch…,"[{'text': 'GreatBritishBeeCount', 'indices': [25, 46]}, {'text': 'Android', 'indices': [75, 83]}, {'text': 'iPhone', 'indices': [87, 94]}]",[],"[{'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [3, 17]}]",997024095127646210
997091704942587904,489605884,,,2018-05-17 12:29:22,,Twitter for iPhone,angela,LA08LMU,Sat Feb 11 18:05:22 +0000 2012,2716,,,False,52,223,,"RT @friends_earth: Our gardens can be a lifeline to bees and other pollinators. What bee-friendly plants are you growing? 🐝  🐝  

The #Grea…",[],[],"[{'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [3, 17]}]",995020760572887046
997091672587735040,867352362180063238,,,2018-05-17 12:29:14,,Twitter Web Client,BotanyAppliedLife,botanyapplife,Wed May 24 12:11:32 +0000 2017,676,https://t.co/OHQcVpA20Q,"England, United Kingdom",False,143,499,https://t.co/K6Q671bgvS,"RT @LGSpace: There are hundreds of native wildflowers you can grow in your garden, including foxgloves! #bumblebees #bees via @BumblebeeTru…","[{'text': 'bumblebees', 'indices': [104, 115]}, {'text': 'bees', 'indices': [116, 121]}]",[],"[{'screen_name': 'LGSpace', 'name': 'Little Green Space', 'id': 487812528, 'id_str': '487812528', 'indices': [3, 11]}]",996450097574678528
997091352700706816,352268110,,,2018-05-17 12:27:58,,Twitter for iPad,Ali,BarlowAlison,Wed Aug 10 11:25:38 +0000 2011,32656,"Slave to 2 lurchers and a terrier, loves walking, walking and even more walking. A lover of wildlife, gardening and art!",,False,1865,4562,https://t.co/JvvOZY6d0u,Don't forget to take part in #GreatBritishBeeCount today! #Bees https://t.co/5r0gS7aEyY,"[{'text': 'GreatBritishBeeCount', 'indices': [29, 50]}, {'text': 'Bees', 'indices': [58, 63]}]",[],[],
997091280642560000,169029735,,,2018-05-17 12:27:41,,Twitter for Android,Rob Ferguson,rmwferguson,Wed Jul 21 10:58:01 +0000 2010,2608,Dad 🍼| molecular ecologist🔬 | cyclist 🚵. currently working on airborne microorganisms 🍄 see @RAMBIEair,"Colchester, England",False,434,1134,https://t.co/lyd4xvLGxZ,RT @friends_earth: 🐝 The #GreatBritishBeeCount is go! Download the app for #Android or #iPhone – search for ‘Great British Bee Count’ or ch…,"[{'text': 'GreatBritishBeeCount', 'indices': [25, 46]}, {'text': 'Android', 'indices': [75, 83]}, {'text': 'iPhone', 'indices': [87, 94]}]",[],"[{'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [3, 17]}]",997024095127646210
997091260950343680,124411581,,,2018-05-17 12:27:36,,Twitter for iPhone,Mike Winter 🇪🇺,MikeDWinter,Fri Mar 19 09:27:35 +0000 2010,6605,"Leeds-based Warwickshire Lad, Husband, Father, Francophile, European, Labour, lover of wild places, cricket fan, petrol head turned EV convert.","Leeds, England",False,503,901,https://t.co/hPjwmEpQ0B,RT @MattEAShardlow: BREAKING NEWS - Bayer and Syngenta lose court case challenging neonicotinoid ban - in future bees must only be exposed…,[],[],"[{'screen_name': 'MattEAShardlow', 'name': 'Matt Shardlow', 'id': 2282404970, 'id_str': '2282404970', 'indices': [3, 18]}]",997046703940423680
997091245271994368,14954297,,,2018-05-17 12:27:32,,Twitter for Android,Bethan Davies,bethaned,Fri May 30 13:04:15 +0000 2008,8341,"I love nature and all animals and am vegetarian. I enjoy drawing, Norman sculpture, writing and comedy.","South West, England",False,268,144,http://t.co/XaP3NomYUU,"RT @ecotricity: Great British Bee Count launches today! 

The annual survey, run by  @friends_earth  and  @buzz_dont_tweet lets you find ou…",[],[],"[{'screen_name': 'ecotricity', 'name': 'ecotricity', 'id': 16451669, 'id_str': '16451669', 'indices': [3, 14]}, {'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [85, 99]}, {'screen_name': 'Buzz_dont_tweet', 'name': 'Buglife', 'id': 255489796, 'id_str': '255489796', 'indices': [106, 122]}]",997062934818951168
997091232596811776,3233034477,,,2018-05-17 12:27:29,,Twitter Web Client,Apimondia Bees,apimondiabees,Mon May 04 10:25:23 +0000 2015,1685,#Apimondia is the International Federation of #Beekeepers’ Associations and other organisations working within the apiculture sector since 1895.,,False,2468,1207,https://t.co/I73WAwtQIV,"75% of the world's food crops depend at least in part on #pollination.

#WorldBeeDay is celebrated on 20 May… https://t.co/l6oOByQWrh","[{'text': 'pollination', 'indices': [57, 69]}, {'text': 'WorldBeeDay', 'indices': [72, 84]}]","[{'url': 'https://t.co/l6oOByQWrh', 'expanded_url': 'https://twitter.com/i/web/status/997091232596811776', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [110, 133]}]",[],
997091232198348800,492285245,,,2018-05-17 12:27:29,,Twitter Web Client,Hazel Bedford,Bedfordhj,Tue Feb 14 15:05:41 +0000 2012,1679,"Writer on development. Working for IFAD - interested in gender equality, land rights, green issues, young people. Views here my own.",Rome,False,238,282,,"RT @apimondiabees: Who else is looking forward to #WorldBeeDay on 20 May? 

#bees #beekeeping #pollinators #honey #apimondia https://t.co/M…","[{'text': 'WorldBeeDay', 'indices': [50, 62]}, {'text': 'bees', 'indices': [76, 81]}, {'text': 'beekeeping', 'indices': [82, 93]}, {'text': 'pollinators', 'indices': [94, 106]}, {'text': 'honey', 'indices': [107, 113]}, {'text': 'apimondia', 'indices': [114, 124]}]",[],"[{'screen_name': 'apimondiabees', 'name': 'Apimondia Bees', 'id': 3233034477, 'id_str': '3233034477', 'indices': [3, 17]}]",996742630204731392
